Date,High,Low,Open,Close,Volume,Adj Close
2015-05-14,219270,217591,217945,219270,100,219270
2015-05-15,219899,217830,219899,218640,100,218640
2015-05-18,219386,218145,218760,219125,100,219125
2015-05-19,220650,218250,219000,220400,300,220400
2015-05-20,220000,218816,219900,219526,200,219526
2015-05-21,219343,218280,219343,218280,100,218280
2015-05-22,218250,216960,217780,217000,300,217000
2015-05-26,217500,215675,216995,215700,300,215700
2015-05-27,217905,215950,216100,217440,100,217440
2015-05-28,217880,216330,217880,217580,100,217580
2015-05-29,217080,214800,217080,214800,300,214800
2015-06-01,216420,215160,215260,215400,200,215400
2015-06-02,215160,213821,215100,214820,300,214820
2015-06-03,215920,214251,215503,214600,200,214600
2015-06-04,214411,212360,214411,212585,200,212585
2015-06-05,213060,211380,212620,211560,200,211560
2015-06-08,211400,210000,211400,210000,200,210000
2015-06-09,210897,209240,209400,209700,200,209700
2015-06-10,212400,210100,210100,211400,200,211400
2015-06-11,212740,211420,211780,211940,200,211940
2015-06-12,212050,210020,212050,210760,100,210760
2015-06-15,210300,208551,209900,209300,300,209300
2015-06-16,210000,208640,209350,209760,100,209760
2015-06-17,211200,209260,210000,210150,100,210150
2015-06-18,214400,210895,210895,214050,200,214050
2015-06-19,214800,211900,213541,212200,200,212200
2015-06-22,214200,212000,213680,212580,200,212580
2015-06-23,213300,211670,212858,211900,100,211900
2015-06-24,212181,210390,211740,210500,200,210500
2015-06-25,211120,209600,210500,209600,200,209600
2015-06-26,210460,209025,210000,209900,200,209900
2015-06-29,208620,205000,208620,205000,400,205000
2015-06-30,206960,204800,206640,204850,400,204850
2015-07-01,207660,205460,206740,206365,500,206365
2015-07-02,207028,205923,206900,205923,600,205923
2015-07-06,206280,204640,204880,205500,200,205500
2015-07-07,208150,204340,205845,208150,500,208150
2015-07-08,207040,205540,206100,206186,500,206186
2015-07-09,208500,207300,207800,207740,200,207740
2015-07-10,210500,208760,209600,209800,200,209800
2015-07-13,212240,211040,211040,211720,200,211720
2015-07-14,212525,211425,211700,211767,100,211767
2015-07-15,213996,212020,212500,213800,100,213800
2015-07-16,215950,214445,214505,215950,200,215950
2015-07-17,216001,215500,215820,215960,200,215960
2015-07-20,217100,215840,215840,216480,300,216480
2015-07-21,216975,214865,216960,215796,200,215796
2015-07-22,215800,214680,215500,215380,100,215380
2015-07-23,214960,213183,214705,213520,100,213520
2015-07-24,213430,211825,213300,212032,200,212032
2015-07-27,212000,210705,211800,210725,200,210725
2015-07-28,215340,211702,211702,215091,300,215091
2015-07-29,215466,214000,215091,214320,100,214320
2015-07-30,214745,213261,214380,214745,100,214745
2015-07-31,215600,214000,215200,214000,200,214000
2015-08-03,214450,211520,214400,213500,200,213500
2015-08-04,214635,213105,213105,214150,100,214150
2015-08-05,216000,214820,214820,215201,200,215201
2015-08-06,215681,214572,215280,215650,200,215650
2015-08-07,215505,213760,214725,215463,100,215463
2015-08-10,215300,212010,213000,215300,400,215300
2015-08-11,214785,212780,213405,214500,300,214500
2015-08-12,213000,210994,212850,213000,300,213000
2015-08-13,214056,211910,212740,213185,200,213185
2015-08-14,214238,213380,213399,213981,100,213981
2015-08-17,213700,212240,213700,213300,100,213300
2015-08-18,213460,211640,213300,212100,100,212100
2015-08-19,212450,209800,211660,210660,200,210660
2015-08-20,209560,207740,209560,207862,300,207862
2015-08-21,206820,202080,206820,202500,1100,202500
2015-08-24,201420,190007,193420,196005,1200,196005
2015-08-25,201898,193000,201190,194200,600,194200
2015-08-26,200590,194700,198224,200500,700,200500
2015-08-27,205780,201410,203100,204940,300,204940
2015-08-28,205344,203465,205000,205344,200,205344
2015-08-31,204300,201615,204300,202531,200,202531
2015-09-01,199995,196626,199995,198144,500,198144
2015-09-02,199800,198020,199800,199360,300,199360
2015-09-03,201980,199300,200225,199665,300,199665
2015-09-04,197799,195000,197799,196501,300,196501
2015-09-08,201100,198360,199071,200600,700,200600
2015-09-09,202700,196801,202250,196875,300,196875
2015-09-10,198985,196800,196900,197639,300,197639
2015-09-11,198329,196551,197850,198329,200,198329
2015-09-14,198515,197000,198329,197598,200,197598
2015-09-15,199998,197300,197598,199305,200,199305
2015-09-16,200499,199400,199620,199415,200,199415
2015-09-17,201330,198100,199415,198100,200,198100
2015-09-18,197483,192200,197150,192200,1000,192200
2015-09-21,197300,195000,195200,197022,700,197022
2015-09-22,195386,193750,195000,195386,300,195386
2015-09-23,195386,193601,195386,194479,200,194479
2015-09-24,194441,192600,193500,193800,200,193800
2015-09-25,196360,194110,195710,194620,200,194620
2015-09-28,194210,193170,193402,193305,200,193305
2015-09-29,193741,192000,193540,193621,200,193621
2015-09-30,195775,193130,194700,195240,300,195240
2015-10-01,199750,194600,196300,195739,200,195739
2015-10-02,195500,192200,194250,195500,300,195500
2015-10-05,198800,195940,196300,198561,300,198561
2015-10-06,198750,196610,198170,196720,200,196720
2015-10-07,200107,197760,198000,199000,300,199000
2015-10-08,201140,198500,199300,200616,200,200616
2015-10-09,201595,198420,200951,199650,100,199650
2015-10-12,201015,199440,199969,200000,100,200000
2015-10-13,200000,197890,199550,198578,200,198578
2015-10-14,198825,196676,198825,196899,200,196899
2015-10-15,200742,197385,198420,200499,300,200499
2015-10-16,202055,199500,201845,200469,200,200469
